Unnamed: 0,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,remaining_lease_year,month_extract,year_extract,flat_type_room,flat_model_cat,storey_range_cat,town_cat,latitude,longitude
0,2017-01,ANG MO KIO,4 ROOM,588C,ANG MO KIO ST 52,13 TO 15,90.0,DBSS,2011,93 years 08 months,688000.0,93.66666666666669,1,2017,4,1,4,2,1.3718687,103.85348335
1,2017-01,ANG MO KIO,4 ROOM,588D,ANG MO KIO ST 52,19 TO 21,91.0,DBSS,2011,93 years 07 months,730000.0,93.58333333333331,1,2017,4,1,6,2,1.372107,103.8558472
2,2017-01,ANG MO KIO,4 ROOM,588D,ANG MO KIO ST 52,22 TO 24,91.0,DBSS,2011,93 years 07 months,756000.0,93.58333333333331,1,2017,4,1,7,2,1.372107,103.8558472
3,2017-01,ANG MO KIO,5 ROOM,588A,ANG MO KIO ST 52,10 TO 12,112.0,DBSS,2011,93 years 07 months,770000.0,93.58333333333331,1,2017,5,1,3,2,1.3720898,103.85269347839709
4,2017-01,ANG MO KIO,5 ROOM,310A,ANG MO KIO AVE 1,10 TO 12,121.0,Improved,2012,94 years 08 months,832000.0,94.66666666666669,1,2017,5,2,3,2,1.36495585,103.8438180100004
5,2017-01,BEDOK,4 ROOM,220B,BEDOK CTRL,10 TO 12,97.0,Model A,2010,92 years 04 months,671000.0,92.33333333333331,1,2017,4,3,3,3,1.3255396,103.93449480974203
6,2017-01,BEDOK,5 ROOM,219C,BEDOK CTRL,13 TO 15,112.0,Improved,2010,92 years 04 months,795000.0,92.33333333333331,1,2017,5,2,4,3,1.3248322,103.93355969492296
7,2017-01,BISHAN,4 ROOM,275A,BISHAN ST 24,34 TO 36,95.0,DBSS,2011,93 years 07 months,808000.0,93.58333333333331,1,2017,4,1,11,4,1.35673585,103.8433771625958
8,2017-01,BISHAN,5 ROOM,275A,BISHAN ST 24,04 TO 06,120.0,DBSS,2011,93 years 08 months,830000.0,93.66666666666669,1,2017,5,1,1,4,1.35673585,103.8433771625958
9,2017-01,BUKIT MERAH,3 ROOM,80C,TELOK BLANGAH ST 31,13 TO 15,68.0,Premium Apartment,2013,95 years 07 months,580000.0,95.58333333333331,1,2017,3,4,4,6,1.2735167,103.8072500075511
